Date,Revenue,Customers,Conversion_Rate,Churn_Rate
2024-01-01,172799,3715,0.0434865699393923,0.02981055320816723
2024-01-31,469405,4842,0.03990310691778594,0.02726896504277551
2024-03-01,499182,2573,0.03491696524586008,0.014112120224298167
2024-03-31,346567,1906,0.03988121573601584,0.023983264301208347
2024-04-30,487851,2286,0.04450282440832952,0.0221425869267076
2024-05-30,240009,2006,0.03166236416330659,0.025685665205230447
2024-06-29,472273,3846,0.03206064648646499,0.016865877621088127
2024-07-29,314988,2980,0.043146226651309905,0.02284512968140734
2024-08-28,490008,2331,0.0397337732437977,0.021760719013243328
2024-09-27,150909,4857,0.0206252510344558,0.027716184536709758
2024-10-27,347970,3327,0.029182120704669523,0.010736523346105887
2024-11-26,246216,2489,0.0387443072077286,0.02207113322838755
