Week,Accuracy Rate,Completeness Rate,Timeliness Rate
2025-02-02,0.9299342830602247,0.8760974692156261,0.8232824384460777
2025-02-09,0.9172347139765763,0.8760281073928923,0.7387111849756732
2025-02-16,0.9329537707620139,0.8972588681469811,0.7533764102343962
2025-02-23,0.95,0.8326015926602661,0.6787625906893272
2025-03-02,0.9153169325055334,0.838252465024609,0.7227808637737408
2025-03-09,0.9153172608610164,0.8731313741227709,0.7555461294854933
2025-03-16,0.95,0.8596150663899673,0.6924503211288848
2025-03-23,0.9353486945830582,0.8994274199778582,0.7687849009172836
2025-03-30,0.910610512281301,0.8627592777343637,0.7199680655040598
2025-04-06,0.9308512008717194,0.8476308889599413,0.7354153125103362
